id,posStat1,posStat2
4373276,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4373896,"[1.0, 1.0, 3.0, 8.0, 10.0, 14.0, 15.0, 16.0, 18.0, 18.0, 18.0, 18.0, 18.0]","[2.0, 4.0, 6.0, 12.0, 14.0, 18.0, 20.0, 23.0, 25.0, 25.0, 26.0, 26.0, 26.0]"
4379405,"[31.0, 124.0, 152.0, 188.0, 203.0, 203.0, 203.0, 203.0, 203.0, 203.0, 218.0, 230.0, 274.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0]"
4382581,[],[]
4428048,[],[]
4430498,[],[]
4431097,[],[]
4431315,[],[]
4431368,"[24.0, 24.0, 24.0, 24.0, 24.0, 24.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4432138,"[39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 54.0, 54.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4432635,"[6.0, 7.0, 12.0, 17.0, 17.0, 19.0, 19.0, 21.0, 25.0, 25.0, 25.0, 28.0, 34.0]","[9.0, 10.0, 19.0, 25.0, 25.0, 27.0, 27.0, 29.0, 39.0, 39.0, 40.0, 43.0, 53.0]"
4432696,[],[]
4433861,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4565447,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 9.0, 9.0]"
4567455,[],[]
4567456,"[1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0]"
4567458,"[90.0, 101.0, 192.0, 223.0, 420.0, 471.0, 517.0, 657.0, 702.0, 702.0, 825.0, 873.0, 933.0]","[1.0, 1.0, 2.0, 2.0, 6.0, 7.0, 7.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0]"
4567459,"[1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4567461,[],[]
4567463,"[1.0, 1.0, 1.0, 3.0, 9.0, 14.0, 14.0, 15.0, 16.0, 16.0, 18.0, 20.0, 20.0]","[1.0, 1.0, 2.0, 5.0, 13.0, 20.0, 22.0, 26.0, 28.0, 28.0, 31.0, 34.0, 34.0]"
4567464,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
4567466,[],[]
4567468,[],[]
4567470,"[-3.0, -3.0, -3.0, -3.0, 8.0, 16.0, 76.0, 76.0, 76.0, 144.0, 178.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4567471,"[1.0, 4.0, 4.0, 9.0, 10.0, 14.0, 16.0, 20.0, 22.0, 22.0, 24.0, 25.0, 25.0]","[3.0, 7.0, 10.0, 20.0, 23.0, 27.0, 34.0, 42.0, 45.0, 45.0, 51.0, 54.0, 54.0]"
